"No.","Time","Source","Destination","Protocol","Length","CNameString","Info"
"11044","409.304692","10.10.5.102","10.10.5.1","KRB5","245","hieudm25","AS-REQ"
"11053","409.309599","10.10.5.102","10.10.5.1","KRB5","243","bichpt5","AS-REQ"
"11062","409.314390","10.10.5.102","10.10.5.1","KRB5","245","tunglth1","AS-REQ"
"11071","409.320021","10.10.5.102","10.10.5.1","KRB5","243","minhdn","AS-REQ"
"11080","409.330986","10.10.5.102","10.10.5.1","KRB5","311","minhdn","AS-REQ"
"11089","409.336262","10.10.5.102","10.10.5.1","KRB5","244","dungtv32","AS-REQ"
"11098","409.342308","10.10.5.102","10.10.5.1","KRB5","243","datlq17","AS-REQ"
"11107","409.349067","10.10.5.102","10.10.5.1","KRB5","245","anhnt654","AS-REQ"
"11116","409.355548","10.10.5.102","10.10.5.1","KRB5","244","phucvd4","AS-REQ"
"11125","409.361774","10.10.5.102","10.10.5.1","KRB5","245","duongdpt1","AS-REQ"
"11134","409.365654","10.10.5.102","10.10.5.1","KRB5","245","ngannt66","AS-REQ"
"11143","409.369700","10.10.5.102","10.10.5.1","KRB5","245","longnv17","AS-REQ"
"11152","409.373973","10.10.5.102","10.10.5.1","KRB5","244","trinm15","AS-REQ"
"11161","409.377107","10.10.5.102","10.10.5.1","KRB5","245","trangtt15","AS-REQ"
"11170","409.383162","10.10.5.102","10.10.5.1","KRB5","244","hoangha2","AS-REQ"
"11178","409.389865","10.10.5.102","10.10.5.1","KRB5","246","phongnt56","AS-REQ"
"11187","409.395931","10.10.5.102","10.10.5.1","KRB5","246","nguyenlv7","AS-REQ"
"11195","409.404221","10.10.5.102","10.10.5.1","KRB5","246","dungnv133","AS-REQ"
"11205","409.411793","10.10.5.102","10.10.5.1","KRB5","245","giangnh16","AS-REQ"
"11214","409.421164","10.10.5.102","10.10.5.1","KRB5","242","tandd3","AS-REQ"
"11222","409.427850","10.10.5.102","10.10.5.1","KRB5","244","thaiph5","AS-REQ"
"11231","409.437870","10.10.5.102","10.10.5.1","KRB5","244","anhntt29","AS-REQ"
"11239","409.466613","10.10.5.102","10.10.5.1","KRB5","245","hainm233","AS-REQ"
"11248","409.472158","10.10.5.102","10.10.5.1","KRB5","243","hanhnm5","AS-REQ"
"11257","409.476841","10.10.5.102","10.10.5.1","KRB5","244","anhvh25","AS-REQ"
"11266","409.480640","10.10.5.102","10.10.5.1","KRB5","244","tuanlb3","AS-REQ"
"11275","409.487068","10.10.5.102","10.10.5.1","KRB5","243","duynb5","AS-REQ"
"11284","409.493940","10.10.5.102","10.10.5.1","KRB5","245","minhnc16","AS-REQ"
"11293","409.499265","10.10.5.102","10.10.5.1","KRB5","244","phuctt13","AS-REQ"
"11302","409.503987","10.10.5.102","10.10.5.1","KRB5","244","baont11","AS-REQ"
"11311","409.509322","10.10.5.102","10.10.5.1","KRB5","244","tannv15","AS-REQ"
"11320","409.516678","10.10.5.102","10.10.5.1","KRB5","243","ducmv2","AS-REQ"
"11329","409.522158","10.10.5.102","10.10.5.1","KRB5","241","anhpd","AS-REQ"
"11338","409.528129","10.10.5.102","10.10.5.1","KRB5","244","tungtt51","AS-REQ"
"11349","409.570114","10.10.5.102","10.10.5.1","KRB5","243","anhtp8","AS-REQ"
"11358","409.579611","10.10.5.102","10.10.5.1","KRB5","242","namdi","AS-REQ"
"11367","409.584094","10.10.5.102","10.10.5.1","KRB5","244","ducdt22","AS-REQ"
"11376","409.590368","10.10.5.102","10.10.5.1","KRB5","246","hoangnd42","AS-REQ"
"11385","409.595902","10.10.5.102","10.10.5.1","KRB5","243","tunt22","AS-REQ"
"11394","409.600902","10.10.5.102","10.10.5.1","KRB5","242","ductt7","AS-REQ"
"11403","409.604809","10.10.5.102","10.10.5.1","KRB5","245","kiennd19","AS-REQ"
"11412","409.609773","10.10.5.102","10.10.5.1","KRB5","245","thiennt24","AS-REQ"
"11421","409.613788","10.10.5.102","10.10.5.1","KRB5","243","vuha12","AS-REQ"
"11430","409.618307","10.10.5.102","10.10.5.1","KRB5","242","samnn1","AS-REQ"
"11439","409.621323","10.10.5.102","10.10.5.1","KRB5","242","lochb","AS-REQ"
"11448","409.626733","10.10.5.102","10.10.5.1","KRB5","244","trongtv9","AS-REQ"
"11457","409.632625","10.10.5.102","10.10.5.1","KRB5","245","oanhptk9","AS-REQ"
"11466","409.639750","10.10.5.102","10.10.5.1","KRB5","246","thangnt39","AS-REQ"
"11475","409.646677","10.10.5.102","10.10.5.1","KRB5","244","anhnt703","AS-REQ"
"11484","409.652564","10.10.5.102","10.10.5.1","KRB5","245","chinhpv9","AS-REQ"
"11493","409.658834","10.10.5.102","10.10.5.1","KRB5","244","hoaln11","AS-REQ"
"11502","409.664662","10.10.5.102","10.10.5.1","KRB5","243","ducdm28","AS-REQ"
"11511","409.669055","10.10.5.102","10.10.5.1","KRB5","244","minhtq23","AS-REQ"
"11520","409.672227","10.10.5.102","10.10.5.1","KRB5","244","thanhva1","AS-REQ"
"11529","409.675250","10.10.5.102","10.10.5.1","KRB5","246","duongnh39","AS-REQ"
"11538","409.679773","10.10.5.102","10.10.5.1","KRB5","243","cuongmx","AS-REQ"
"11547","409.684100","10.10.5.102","10.10.5.1","KRB5","243","huynv20","AS-REQ"
"11556","409.687493","10.10.5.102","10.10.5.1","KRB5","244","traptt2","AS-REQ"
"11565","409.693698","10.10.5.102","10.10.5.1","KRB5","246","hangnt214","AS-REQ"
"11574","409.697441","10.10.5.102","10.10.5.1","KRB5","243","thuypn2","AS-REQ"
"11583","409.701420","10.10.5.102","10.10.5.1","KRB5","243","tund23","AS-REQ"
"11592","409.704632","10.10.5.102","10.10.5.1","KRB5","243","tungph9","AS-REQ"
"11601","409.707592","10.10.5.102","10.10.5.1","KRB5","243","longdm3","AS-REQ"
"11610","409.713250","10.10.5.102","10.10.5.1","KRB5","243","hadv16","AS-REQ"
"11619","409.717194","10.10.5.102","10.10.5.1","KRB5","246","truonghd2","AS-REQ"
"11628","409.720665","10.10.5.102","10.10.5.1","KRB5","244","minhnd46","AS-REQ"
"11637","409.724911","10.10.5.102","10.10.5.1","KRB5","245","diepntn6","AS-REQ"
"11646","409.730720","10.10.5.102","10.10.5.1","KRB5","245","hoangnv21","AS-REQ"
"11655","409.735403","10.10.5.102","10.10.5.1","KRB5","244","hiepnt32","AS-REQ"
"11664","409.738651","10.10.5.102","10.10.5.1","KRB5","241","haln2","AS-REQ"
"11673","409.742033","10.10.5.102","10.10.5.1","KRB5","244","hanhth10","AS-REQ"
"11682","409.747024","10.10.5.102","10.10.5.1","KRB5","242","vanbh1","AS-REQ"
"11691","409.751384","10.10.5.102","10.10.5.1","KRB5","244","hoapt32","AS-REQ"
"11700","409.754901","10.10.5.102","10.10.5.1","KRB5","244","toannt38","AS-REQ"
"11709","409.758906","10.10.5.102","10.10.5.1","KRB5","245","hoangtn8","AS-REQ"
"11718","409.762814","10.10.5.102","10.10.5.1","KRB5","243","tiepvv","AS-REQ"
"11727","409.768344","10.10.5.102","10.10.5.1","KRB5","245","chuongnt9","AS-REQ"
"11736","409.773070","10.10.5.102","10.10.5.1","KRB5","244","dungnd38","AS-REQ"
"11745","409.779777","10.10.5.102","10.10.5.1","KRB5","244","chintl8","AS-REQ"
"11754","409.786106","10.10.5.102","10.10.5.1","KRB5","243","vietbv3","AS-REQ"
"11763","409.792546","10.10.5.102","10.10.5.1","KRB5","245","chungnh3","AS-REQ"
"11772","409.797632","10.10.5.102","10.10.5.1","KRB5","243","congnc9","AS-REQ"
"11781","409.802275","10.10.5.102","10.10.5.1","KRB5","245","hungpd23","AS-REQ"
"11790","409.805954","10.10.5.102","10.10.5.1","KRB5","243","lyttt3","AS-REQ"
"11799","409.809630","10.10.5.102","10.10.5.1","KRB5","243","tuandd1","AS-REQ"
"11808","409.813752","10.10.5.102","10.10.5.1","KRB5","244","dungnbn","AS-REQ"
"11817","409.819102","10.10.5.102","10.10.5.1","KRB5","242","duyld2","AS-REQ"
"11826","409.822929","10.10.5.102","10.10.5.1","KRB5","243","ducnm69","AS-REQ"
"11835","409.826959","10.10.5.102","10.10.5.1","KRB5","244","thanglc6","AS-REQ"
"11844","409.830410","10.10.5.102","10.10.5.1","KRB5","242","lamvv2","AS-REQ"
"11853","409.838127","10.10.5.102","10.10.5.1","KRB5","244","hungnc9","AS-REQ"
"11862","409.843099","10.10.5.102","10.10.5.1","KRB5","244","tungns22","AS-REQ"
"11871","409.847302","10.10.5.102","10.10.5.1","KRB5","245","""vinhpt15","AS-REQ"
"11880","409.851378","10.10.5.102","10.10.5.1","KRB5","245","huynq103","AS-REQ"
"11889","409.854940","10.10.5.102","10.10.5.1","KRB5","243","trinhav","AS-REQ"
"11898","409.857912","10.10.5.102","10.10.5.1","KRB5","244","phunv24","AS-REQ"
"11907","409.863000","10.10.5.102","10.10.5.1","KRB5","245","quannh41","AS-REQ"
"11916","409.866802","10.10.5.102","10.10.5.1","KRB5","246","thiennd21","AS-REQ"
"11925","409.870403","10.10.5.102","10.10.5.1","KRB5","243","vinhnk4","AS-REQ"
"11934","409.876723","10.10.5.102","10.10.5.1","KRB5","243","hiephm4","AS-REQ"
"11943","409.879831","10.10.5.102","10.10.5.1","KRB5","244","hungdm35","AS-REQ"
"11952","409.886078","10.10.5.102","10.10.5.1","KRB5","243","bacnt14","AS-REQ"
"11961","409.890828","10.10.5.102","10.10.5.1","KRB5","243","sonth23","AS-REQ"
"11970","409.895497","10.10.5.102","10.10.5.1","KRB5","244","ducpv14","AS-REQ"
"11979","409.899476","10.10.5.102","10.10.5.1","KRB5","244","quanta2","AS-REQ"
"11988","409.902517","10.10.5.102","10.10.5.1","KRB5","244","hieupq5","AS-REQ"
"11997","409.907662","10.10.5.102","10.10.5.1","KRB5","245","truonghv7","AS-REQ"
"12006","409.912134","10.10.5.102","10.10.5.1","KRB5","244","hunglh9","AS-REQ"
"12015","409.917712","10.10.5.102","10.10.5.1","KRB5","243","quandm8","AS-REQ"
"12024","409.924071","10.10.5.102","10.10.5.1","KRB5","243","lampt8","AS-REQ"
"12033","409.932339","10.10.5.102","10.10.5.1","KRB5","242","hadh12","AS-REQ"
"12042","409.939297","10.10.5.102","10.10.5.1","KRB5","244","huannn7","AS-REQ"
"12051","409.945008","10.10.5.102","10.10.5.1","KRB5","244","minhnb6","AS-REQ"
"12060","409.949456","10.10.5.102","10.10.5.1","KRB5","243","tantd4","AS-REQ"
"12069","409.953895","10.10.5.102","10.10.5.1","KRB5","244","vuongtc","AS-REQ"
"12078","409.958898","10.10.5.102","10.10.5.1","KRB5","242","namdp7","AS-REQ"
"12087","409.965633","10.10.5.102","10.10.5.1","KRB5","243","haunv24","AS-REQ"
"12096","409.971191","10.10.5.102","10.10.5.1","KRB5","244","anhdd56","AS-REQ"
"12105","409.975368","10.10.5.102","10.10.5.1","KRB5","244","kienvt15","AS-REQ"
"12114","409.979051","10.10.5.102","10.10.5.1","KRB5","244","hieund24","AS-REQ"
"12123","409.982817","10.10.5.102","10.10.5.1","KRB5","242","sonpm4","AS-REQ"
"12132","409.987521","10.10.5.102","10.10.5.1","KRB5","242","vudm2","AS-REQ"
"12141","409.991394","10.10.5.102","10.10.5.1","KRB5","245","hiepdt10","AS-REQ"
"12150","410.000584","10.10.5.102","10.10.5.1","KRB5","314","hiepdt10","AS-REQ"
"12159","410.006059","10.10.5.102","10.10.5.1","KRB5","244","thiennc6","AS-REQ"
"12168","410.013775","10.10.5.102","10.10.5.1","KRB5","314","thiennc6","AS-REQ"
"12177","410.027049","10.10.5.102","10.10.5.1","KRB5","243","chaudv1","AS-REQ"
"12186","410.031555","10.10.5.102","10.10.5.1","KRB5","244","giangbt9","AS-REQ"
"12195","410.034832","10.10.5.102","10.10.5.1","KRB5","242","samdv","AS-REQ"
"12204","410.037724","10.10.5.102","10.10.5.1","KRB5","245","quanlh18","AS-REQ"
"12213","410.040610","10.10.5.102","10.10.5.1","KRB5","244","minhdd6","AS-REQ"
"12222","410.045868","10.10.5.102","10.10.5.1","KRB5","244","minhbd2","AS-REQ"
"12231","410.050893","10.10.5.102","10.10.5.1","KRB5","244","thaipm2","AS-REQ"
"12240","410.055511","10.10.5.102","10.10.5.1","KRB5","244","hieudv13","AS-REQ"
"12249","410.059854","10.10.5.102","10.10.5.1","KRB5","244","sangpq2","AS-REQ"
"12258","410.062945","10.10.5.102","10.10.5.1","KRB5","244","anhnk23","AS-REQ"
"12267","410.067339","10.10.5.102","10.10.5.1","KRB5","243","huynv62","AS-REQ"
"12276","410.072211","10.10.5.102","10.10.5.1","KRB5","240","dopb","AS-REQ"
"12285","410.078476","10.10.5.102","10.10.5.1","KRB5","246","hungnv148","AS-REQ"
"12294","410.088336","10.10.5.102","10.10.5.1","KRB5","246","quyetnd10","AS-REQ"
"12303","410.092689","10.10.5.102","10.10.5.1","KRB5","243","thailn7","AS-REQ"
"12312","410.096090","10.10.5.102","10.10.5.1","KRB5","244","hieubt7","AS-REQ"
"12321","410.099736","10.10.5.102","10.10.5.1","KRB5","245","duongdv19","AS-REQ"
"12330","410.103046","10.10.5.102","10.10.5.1","KRB5","244","khiempt","AS-REQ"
"12339","410.110342","10.10.5.102","10.10.5.1","KRB5","245","minhnn17","AS-REQ"
"12348","410.124263","10.10.5.102","10.10.5.1","KRB5","243","huynq87","AS-REQ"
"12357","410.128398","10.10.5.102","10.10.5.1","KRB5","246","phuongnv45","AS-REQ"
"12366","410.131714","10.10.5.102","10.10.5.1","KRB5","243","sangnh8","AS-REQ"
"12375","410.137421","10.10.5.102","10.10.5.1","KRB5","243","thanlt3","AS-REQ"
"12383","410.142308","10.10.5.102","10.10.5.1","KRB5","245","dungnt146","AS-REQ"
